source_index,source_channel,source_channel_id,source_video_id,source_url,source_title,published_at,duration_sec,view_count,transcript_chars
13,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,6Ah1gK4_Lxc,https://www.youtube.com/watch?v=6Ah1gK4_Lxc,「古い技術はいらない」→ 崩壊寸前の寺、最後に呼ばれた78歳職人【感動】【感動する話】,2026-02-03T01:15:01Z,1298.0,78,0
14,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,e1h9Gi9BKQU,https://www.youtube.com/watch?v=e1h9Gi9BKQU,50年尽くしてきた家族に「邪魔者」と言われた75歳の祖母──誰も知らなかった真実【感動する話】,2026-02-02T03:52:31Z,782.0,314,0
15,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,1LBtB7qkSdo,https://www.youtube.com/watch?v=1LBtB7qkSdo,高校時代に想いを伝えられなかった二人が、38歳と40歳で再会した娘の優しさが繋いだ、20年越しの恋【感動する話】,2026-01-31T00:00:05Z,956.0,152,0
16,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,qnt2rNgt93Y,https://www.youtube.com/watch?v=qnt2rNgt93Y,財産を狙う3人の子供たちと、認知症を患う80歳の会長7歳の孫娘だけが注いだ純粋な愛遺言書に記されていた、静かな真実【感動する話】,2026-01-27T00:02:25Z,2074.0,150,0
17,人生の温もり,UChqDYjhreZSVg9iyzewzYfQ,WOJQN6FPCtM,https://www.youtube.com/watch?v=WOJQN6FPCtM,【感動する話】閉店まで1ヶ月のラーメン屋に現れたドイツ人一口食べて涙した「マルティン…」20年探し続けた味に辿り着いた父親の決断,2026-01-24T23:00:45Z,1791.0,190,0
18,人生の糸,UCHFtC-6PV6j7WDcKMsRdTYg,qL2cQlTkl9E,https://www.youtube.com/watch?v=qL2cQlTkl9E,廃業してホームレスになった62歳の元寿司屋店主が、公園で倒れそうになった老人に全財産153円でおにぎりを奢った→3日後、まさかの展開に…【感動する話】,2026-03-20T07:00:55Z,1563.0,2344,9974
19,人生の縁側,UCeg1jN9YvfaJ72RB8z7hn6w,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,2026-02-16T01:31:01Z,2927.0,448531,21551
20,人生の縁側,UCeg1jN9YvfaJ72RB8z7hn6w,bjBtxPA3_bU,https://www.youtube.com/watch?v=bjBtxPA3_bU,「生きたければ、かつらを被りなさい！」12歳の天才孤児の少女の叫びに、大財閥の会長が女性用かつらを被って身を隠した衝撃展開【感動する話】,2026-02-11T13:30:44Z,2340.0,473,19832
21,人生の縁側,UCeg1jN9YvfaJ72RB8z7hn6w,E_Veqo1UjWI,https://www.youtube.com/watch?v=E_Veqo1UjWI,「中卒のくせに!!」みすぼらしい夫婦を見下した支配人。私の正体を知った瞬間、その場で膝から崩れ落ちた,2026-02-03T23:00:16Z,2306.0,146,19962
22,人生の縁側,UCeg1jN9YvfaJ72RB8z7hn6w,dKBFcNV1qJI,https://www.youtube.com/watch?v=dKBFcNV1qJI,「親の顔が見てみたいわw」エリート銀行員に侮辱された女性清掃員。「わかりました、すぐ呼びますね」内線0001で呼び出した結果…,2026-02-02T22:30:16Z,1453.0,609,13407
23,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,mpU1XM9b2PA,https://www.youtube.com/watch?v=mpU1XM9b2PA,スペインで全財産を失った26歳の日本人女性。廃業寸前のスペインレストランが１つの羽釜で奇跡を起こす…【感動ストーリー】【人生は七色】,2026-05-04T21:00:49Z,,4669,19978
24,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,diw_W2B8YVk,https://www.youtube.com/watch?v=diw_W2B8YVk,あのまま終わると思っていた野球少年の運命は、たこ焼き屋亭主との出会いですべてが変わったのでした,2026-04-08T21:00:46Z,,2342,0
25,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,4zeZXnAl5Jk,https://www.youtube.com/watch?v=4zeZXnAl5Jk,新社長に即刻解雇された老人はAIには替えられない本物の技術者でした・・・,2026-02-11T21:00:10Z,3319.0,3645,18318
26,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,uHo6zJGiie4,https://www.youtube.com/watch?v=uHo6zJGiie4,「シングルマザー」が理由で落とされた青年。数年後、面接官は青年のお店に泣きついていたのです【感動ストーリー】,2026-02-08T21:00:46Z,3375.0,3768,19416
27,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,xL_zyEUhgBo,https://www.youtube.com/watch?v=xL_zyEUhgBo,「清掃員が出しゃばるな！」小児病棟で見下された老婆がピアノを演奏した瞬間、余命わずかの少女が目の前に現れて…【感動ストーリー】,2026-02-04T21:01:12Z,2397.0,5157,14421
28,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,tCYuZ3Eo20U,https://www.youtube.com/watch?v=tCYuZ3Eo20U,「汚ねぇジジイと犬はどっか行け！」大雨の中、罵声を浴びせた動物病院の院長。しかし、ホームレスだけが知る“ある秘密”の暴露で人生崩壊…,2026-01-27T21:00:58Z,2888.0,4152,17104
29,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,3qoka-rukQs,https://www.youtube.com/watch?v=3qoka-rukQs,「女はお茶汲みでもしてろ」派閥内で見下された女性議員。ある日、彼女のもとに総理大臣から1本の電話が…【スカッと】,2026-01-19T21:00:02Z,2565.0,3880,14757
30,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,NQrbv-CRPww,https://www.youtube.com/watch?v=NQrbv-CRPww,決してエリート街道ではなかった新人女性議員は、国の緊急事態に能力を開花させた,2026-01-09T21:00:33Z,2970.0,4656,17359
31,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,Zphmxo2wqgI,https://www.youtube.com/watch?v=Zphmxo2wqgI,「最期ぐらいは誰かのために」余命宣告を受けた老人が街のホームレスたちに豚汁を振舞った結果…,2025-12-21T21:00:39Z,2371.0,4105,13489
32,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,TVZB760puOE,https://www.youtube.com/watch?v=TVZB760puOE,創業40年のNYに佇む日本人経営の鮨屋は廃業寸前に追い込まれるも“一つの動画”をきっかけに様変わりする,2025-11-02T21:00:34Z,2277.0,4708,13822
33,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,gWyiLZ_Y2n8,https://www.youtube.com/watch?v=gWyiLZ_Y2n8,「貧乏人は日本に帰れ！」真冬の寒空で泥水をかけられた貧乏留学生。30年後、いじめっ子に訪れた悲惨な結末とは…,2025-10-26T21:00:46Z,3107.0,5371,19116
34,人生は七色,UCd8RNaNMmt32HpGAR_POuVQ,8hMohuDLTKM,https://www.youtube.com/watch?v=8hMohuDLTKM,娘の結婚式で狂ったように吠える柴犬。数分後、警察がやってきて衝撃の事実が発覚する…,2025-09-15T09:00:24Z,1739.0,9484,10882
35,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,cVluDvD6QgE,https://www.youtube.com/watch?v=cVluDvD6QgE,「おなかすいたよ...」大雨の夜、ゴミ捨て場で震える姉妹→廃業寸前の定食屋が特盛の親子丼をふるまった結果   【感動する話】,2026-05-09T09:00:14Z,1606.0,6178,0
36,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,f-5UaRSUWkY,https://www.youtube.com/watch?v=f-5UaRSUWkY,「気味が悪い子ね」と親戚に捨てられたボロボロの少女 → 実はIQ200の天才だった結果...【感動する話】,2026-05-06T09:00:00Z,1741.0,16579,0
37,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,l-MEpzhwC4I,https://www.youtube.com/watch?v=l-MEpzhwC4I,「私、いらない子なの…？」極寒の夜、片腕を失ったボロボロの車椅子少女がパーキングエリアに置き去りに→娘を亡くした男が保護した結果…【感動する話】,2026-05-03T09:00:00Z,1576.0,20875,0
38,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,N2tok-BMhQw,https://www.youtube.com/watch?v=N2tok-BMhQw,大雪の夜、雪を食べて空腹をしのぐ幼い姉妹 → 廃業寸前の民宿主人が連れ帰った結果…【感動する話】,2026-04-30T09:00:00Z,1567.0,10424,0
39,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,8YuTIMCaaWs,https://www.youtube.com/watch?v=8YuTIMCaaWs,「10円でたい焼き1つくだしゃい、おかあしゃんにあげたいの」→10円玉を差し出すボロボロ少女に廃業寸前の店主が焼きたてを袋いっぱい渡した結果…【感動する話】,2026-04-27T09:00:00Z,2107.0,6721,0
40,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,8fpmnKmhwlg,https://www.youtube.com/watch?v=8fpmnKmhwlg,真冬の夜、親に追い出されたアザだらけの5歳少女→家に連れ帰り、温かい風呂とご飯を用意した結果…【感動する話】,2026-04-24T09:00:00Z,1632.0,28505,0
41,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,NheqvnVAPBQ,https://www.youtube.com/watch?v=NheqvnVAPBQ,借金500万の蕎麦屋に松葉杖の13歳少女が来店「日給100円で働けますか⋯」70歳店主「正社員として月給20万円で雇う」→1ヶ月後、まさかの展開に…【感動する話】,2026-04-21T09:00:00Z,1686.0,507,0
42,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,XeZuCiqLbOY,https://www.youtube.com/watch?v=XeZuCiqLbOY,廃業寸前のケーキ屋に傷だらけの少女が来店「50円でケーキ買えますか」→55歳店主が誕生日ケーキを渡した結果…【感動する話】,2026-04-18T09:00:00Z,1652.0,6899,0
43,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,HBIHyQ-d208,https://www.youtube.com/watch?v=HBIHyQ-d208,借金800万円の閉店寸前のラーメン屋に今にも倒れそうな母娘が来店→37歳店主が大盛りラーメンをご馳走した結果…【感動する話】,2026-04-15T09:00:00Z,1930.0,2109,0
44,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,S_sG5-E_0lc,https://www.youtube.com/watch?v=S_sG5-E_0lc,63歳イタリアのピザ職人が日本人を雇った結果、廃業寸前のピザ屋が想像もしない事態に…【感動する話】,2026-04-12T09:00:00Z,1900.0,236,0
45,人生は宝物,UCliIrcIkFIjybCKwb058_LQ,VwqZtjUjZm0,https://www.youtube.com/watch?v=VwqZtjUjZm0,"廃業寸前のパン屋に盲目の13歳少女が来店「月給3,000円で働かせてください」孤独な65歳店主が月給25万円で雇った結果…【感動する話】",2026-04-09T09:00:00Z,1427.0,594,0
